n,tuples_examined,wall_time,output_tuples
1000,1000,0.08208429208025336,1000
2000,2000,0.3257042500190437,2000
4000,4000,1.2386927921324968,4000
8000,8000,4.925739041995257,8000
16000,16000,20.654416083125398,16000
32000,32000,85.65691925003193,32000
64000,64000,329.97142879199237,64000
