n,wall_time,output_tuples
1000,0.0808130418881774,1000
2000,0.3266231659799814,2000
4000,1.298518958967179,4000
8000,5.051244917092845,8000
16000,20.601659666979685,16000
32000,86.01453370810486,32000
64000,324.9274523342028,64000
